scores,lat1,lat2,lon1,lon2
109.58471010221994,34.752,34.76,135.576,135.584
106.88548442736054,34.752,34.76,135.584,135.592
103.81057805045535,34.752,34.76,135.592,135.6
99.90226238263014,34.752,34.76,135.6,135.608
97.15704438600686,34.752,34.76,135.608,135.616
95.50667675585628,34.752,34.76,135.616,135.624
95.27697885826024,34.752,34.76,135.624,135.632
95.60730369199736,34.752,34.76,135.632,135.64
95.18277558092888,34.752,34.76,135.64,135.648
94.02775085645312,34.752,34.76,135.648,135.656
92.82980898876404,34.752,34.76,135.656,135.664
91.59818367929918,34.752,34.76,135.664,135.672
90.46036661147694,34.752,34.76,135.672,135.68
89.2754090400205,34.752,34.76,135.68,135.688
88.51153442515621,34.752,34.76,135.688,135.696
85.53123346509383,34.752,34.76,135.696,135.704
81.6337112342705,34.752,34.76,135.704,135.712
79.31464965029393,34.752,34.76,135.712,135.72
77.10363619216986,34.752,34.76,135.72,135.728
72.91167790262172,34.752,34.76,135.728,135.736
68.85577578588563,34.752,34.76,135.736,135.744
64.91647651232874,34.752,34.76,135.744,135.752
61.92583372580681,34.752,34.76,135.752,135.76
60.77188586209684,34.752,34.76,135.76,135.768
57.99937857946625,34.752,34.76,135.768,135.776
55.8873713247662,34.752,34.76,135.776,135.784
61.37239165329053,34.752,34.76,135.784,135.792
55.04608079186731,34.752,34.76,135.792,135.8
109.45609420808259,34.744,34.752,135.4,135.408
110.4954700110777,34.744,34.752,135.408,135.416
111.44472695320533,34.744,34.752,135.416,135.424
110.62429443510572,34.744,34.752,135.424,135.432
110.96726210500347,34.744,34.752,135.432,135.44
112.31422794156876,34.744,34.752,135.44,135.448
113.90051211495835,34.744,34.752,135.448,135.456
112.8797699234864,34.744,34.752,135.456,135.464
113.85570250403953,34.744,34.752,135.464,135.472
115.04079977778973,34.744,34.752,135.472,135.48
115.26356869793081,34.744,34.752,135.48,135.488
112.4776628881672,34.744,34.752,135.488,135.496
113.42464947661577,34.744,34.752,135.496,135.504
113.73961542916715,34.744,34.752,135.504,135.512
113.90783454878809,34.744,34.752,135.512,135.52
113.663622015393,34.744,34.752,135.52,135.528
113.01307711155448,34.744,34.752,135.528,135.536
112.69277194268035,34.744,34.752,135.536,135.544
113.35919151192935,34.744,34.752,135.544,135.552
113.0929996769623,34.744,34.752,135.552,135.56
112.26896922866351,34.744,34.752,135.56,135.568
109.95640243717969,34.744,34.752,135.568,135.576
